,br,inserent_plz,title,inserent_location,clicks7d,label,lat,lng
155,36730323,80807,Projektmanager Digitale Produkte (m/w/d),München,29,0,48.1865394,11.585399
156,38987741,66121,Groupwide Service Manager (m/w/d),Saarbrücken,15,0,49.2296839,7.0409029
157,38953040,22844,Leiter (m/w/d) Capacity Planning,Norderstedt,21,0,53.7263514,10.0117748
158,39991206,10117,Experte (w/m/d) kollektives Arbeitsrecht,Berlin,29,0,52.5155098,13.3847539
159,43439562,81373,Fachkraft Metalltechnik / Industriemechaniker (m/w/d) als Monteur in der Fertigung,München,23,0,48.1214727,11.5322563
160,36733697,72072,Sachgebietsleitung für die Straßenverkehrsbehörde (m/w/d),Tübingen,32,0,48.4936788,9.052606
161,40891580,91074,Einkäufer Geschäftsbereich Ventiltriebsysteme (m/w/d),Herzogenaurach,25,0,49.5782416,10.8819032
162,37117894,54329,Solution Sales Manager (m/f/d) - Mining and Quarry for Volvo Autonomous Solutions,Konz,32,0,49.6756602,6.6254122
163,40404778,56073,Trainee (m/w/d) für das Strategische Management (Controlling/Treasury) der Debeka Bausparkasse AG,Koblenz,18,0,50.3481531,7.5616813
164,37804826,56751,Elektrokonstrukteur (m/w/d),Polch,16,0,50.3002082,7.2980427
165,38247849,88239,Ingenieure / Techniker als technische Redakteure Ersatzteillogistik (m/w/d),Wangen,26,0,47.6894006,9.8206437
166,37314758,91074,Cost Value Engineer E-Mobility - Schwerpunkt Elektronik (m/w/d),Herzogenaurach,12,0,49.5782416,10.8819032
167,39759214,80809,Commodity Manager (Machining) / Project buyer (m/f/d),München,26,0,48.1800923,11.5497532
168,39419827,70190,Redaktionsassistent / Redaktionsassistentin (w/m/d) im Studio Tübingen,Stuttgart,86,0,48.78939769999999,9.1962771
169,36778143,30175,Business Owner Customer- Product Line Parking (m/f/diverse) - Executive,Hannover,28,0,52.3769996,9.7630649
170,38144689,99099,IT Notfallmanager (m/w/d) IT Service Continuity Management,Erfurt,38,0,50.9629108,11.0744063
171,40255207,81373,Elektriker / Elektroniker (m/w/d),München,24,0,48.1214727,11.5322563
172,40248057,74177,Category Management Lead (f/m/x) Indirect Sourcing,Bad Friedrichshall,23,0,49.237102,9.2101487
173,38561249,73660,Leitung des Haupt- und Ordnungsamts (m/w/d),Urbach,35,0,48.8201039,9.5775729
174,39504571,50679,Monteur:in Verkehrssicherung (m/w/d),Köln,28,0,50.934707,6.9759562
175,38836209,51588,Teamleitung Pflege neurologische Frührehabilitation (m/w/d),Nümbrecht,19,0,50.905378,7.530899
176,39585985,39288,Dipl.-Psychologe / Master Psychologie (m/w/d),Burg,25,0,52.2978506,11.8716379
177,40513472,55131,Medizinische*r Fachangestellte*r (m/w/d),Mainz,17,0,49.9889241,8.2716688
178,37371626,33098,POLIER SCHLÜSSELFERTIGBAU (m/w/d),Paderborn,12,0,51.7113515,8.754257599999999
179,41078413,60596,Study Nurse / Studienassistenz - Klinik für Strahlentherapie,Frankfurt,27,0,50.0990675,8.6738622
180,38730892,80807,Elektroniker:in für Energie- und Gebäudetechnik (m/w/d),München,13,0,48.1865394,11.585399
181,40215478,50679,Facharbeiter:in Leitungsbau (m/w/d),Köln,21,0,50.934707,6.9759562
182,37877667,78658,Elektroplaner (m/w/d) EPLAN,Zimmern,15,0,48.1674346,8.590668299999999
183,41927868,59439,Procurement Excellence Manager (m/w/d),Holzwickede,28,0,51.48774239999999,7.635929799999999
184,39568913,88662,Technischer Hausverwalter/ Technischer Objektbetreuer (m/w/d),Überlingen,31,0,47.7654618,9.1450009
185,40726933,86899,Group Controller (m/w/d),Landsberg,13,0,48.02530300000001,10.8506608
186,40893542,73728,Personalreferent:in für die Abteilung Personalmanagement,Esslingen am Neckar,48,0,48.7384056,9.3081095
187,36458963,85057,Betriebsingenieur Anlagen- und Automatisierungstechnik (m/w/d),Ingolstadt,35,0,48.7750985,11.4097351
188,43660651,80335,Heilerziehungspfleger / Ergotherapeut (m/w/d),München,28,0,48.1443383,11.5548236
189,42450761,95445,Systembetreuer (m/w/d) Zeitwirtschaft,Bayreuth,36,0,49.9517152,11.5608931
190,35656336,82319,Gesundheits- und Krankenpfleger (m/w/d) für unsere kardiologische 36-Betten-Station (davon 6 IMC Betten),Starnberg,29,0,48.0090878,11.3258686
191,36736828,60329,"Teamleiter ""Innovation und Digitalisierung"" (m/w/d)",Frankfurt/Main,27,0,50.10600059999999,8.6677324
192,41069081,60596,Laborassistenz / Medizinisch-technische Assistenz (MTA / BTA) - Krankenhaushygiene,Frankfurt,76,0,50.0990675,8.6738622
193,39158536,21035,Personalsachbearbeiter (m/w/d) mit Schwerpunkt Entgeltabrechnung,Hamburg,33,0,53.4873133,10.153583
